    x = 0.0100000    x = 0.0200000    x = 0.0300000    x = 0.0400000    x = 0.0500000    x = 0.0600000    x = 0.0700000    x = 0.0800000    x = 0.0900000    x = 0.100000    x = 0.110000    x = 0.120000    x = 0.130000    x = 0.140000    x = 0.150000    x = 0.160000    x = 0.170000    x = 0.180000    x = 0.190000    x = 0.200000    x = 0.210000    x = 0.220000    x = 0.230000    x = 0.240000    x = 0.250000    x = 0.260000    x = 0.270000    x = 0.280000    x = 0.290000    x = 0.300000    x = 0.310000    x = 0.320000    x = 0.330000    x = 0.340000    x = 0.350000    x = 0.360000    x = 0.370000    x = 0.380000    x = 0.390000    x = 0.400000    x = 0.410000    x = 0.420000    x = 0.430000    x = 0.440000    x = 0.450000    x = 0.460000    x = 0.470000    x = 0.480000    x = 0.490000    x = 0.500000    x = 0.510000    x = 0.520000    x = 0.530000    x = 0.540000    x = 0.550000    x = 0.560000    x = 0.570000    x = 0.580000    x = 0.590000    x = 0.600000    x = 0.610000    x = 0.620000    x = 0.630000    x = 0.640000    x = 0.650000    x = 0.660000    x = 0.670000    x = 0.680000    x = 0.690000    x = 0.700000    x = 0.710000    x = 0.720000    x = 0.730000    x = 0.740000    x = 0.750000    x = 0.760000    x = 0.770000    x = 0.780000    x = 0.790000    x = 0.800000    x = 0.810000    x = 0.820000    x = 0.830000    x = 0.840000    x = 0.850000    x = 0.860000    x = 0.870000    x = 0.880000    x = 0.890000    x = 0.900000    x = 0.910000    x = 0.920000    x = 0.930000    x = 0.940000    x = 0.950000    x = 0.960000    x = 0.970000    x = 0.980000    x = 0.990000
    0.016701561    0.025137832    0.033578329    0.042024464    0.050477644    0.058939268    0.067410727    0.075893406    0.084388674    0.092897892     0.10142241     0.10996355     0.11852263     0.12710096     0.13569980     0.14432043     0.15296407     0.16163196     0.17032527     0.17904519     0.18779285     0.19656938     0.20537585     0.21421334     0.22308287     0.23198544     0.24092203     0.24989357     0.25890095     0.26794505     0.27702670     0.28614670     0.29530580     0.30450473     0.31374417     0.32302476     0.33234711     0.34171179     0.35111931     0.36057016     0.37006477     0.37960356     0.38918686     0.39881500     0.40848825     0.41820682     0.42797090     0.43778063     0.44763611     0.45753737     0.46748443     0.47747725     0.48751574     0.49759978     0.50772919     0.51790376     0.52812323     0.53838729     0.54869560     0.55904777     0.56944337     0.57988191     0.59036290     0.60088576     0.61144991     0.62205470     0.63269945     0.64338346     0.65410596     0.66486616     0.67566324     0.68649633     0.69736454     0.70826691     0.71920250     0.73017030     0.74116928     0.75219838     0.76325650     0.77434254     0.78545534     0.79659373     0.80775651     0.81894247     0.83015036     0.84137891     0.85262684     0.86389284     0.87517560     0.88647378     0.89778602     0.90911095     0.92044721     0.93179338     0.94314809     0.95450991     0.96587744     0.97724924     0.98862391
    0.017313099    0.026057579    0.034805400    0.043557680    0.052315530    0.061080057    0.069852362    0.078633538    0.087424669    0.096226830     0.10504108     0.11386849     0.12271008     0.13156688     0.14043990     0.14933015     0.15823860     0.16716620     0.17611392     0.18508266     0.19407333     0.20308682     0.21212399     0.22118567     0.23027268     0.23938580     0.24852581     0.25769343     0.26688939     0.27611437     0.28536902     0.29465397     0.30396982     0.31331714     0.32269646     0.33210830     0.34155314     0.35103141     0.36054352     0.37008986     0.37967078     0.38928658     0.39893755     0.40862393     0.41834592     0.42810372     0.43789745     0.44772724     0.45759313     0.46749519     0.47743340     0.48740774     0.49741814     0.50746449     0.51754666     0.52766447     0.53781772     0.54800617     0.55822954     0.56848753     0.57877979     0.58910594     0.59946558     0.60985826     0.62028352     0.63074084     0.64122970     0.65174952     0.66229971     0.67287965     0.68348867     0.69412610     0.70479122     0.71548331     0.72620158     0.73694526     0.74771353     0.75850555     0.76932047     0.78015739     0.79101542     0.80189363     0.81279108     0.82370679     0.83463980     0.84558911     0.85655369     0.86753253     0.87852457     0.88952877     0.90054405     0.91156935     0.92260357     0.93364561     0.94469437     0.95574875     0.96680762     0.97786987     0.98893437
    0.017796456    0.026784540    0.035775266    0.044769514    0.053768163    0.062772089    0.071782161    0.080799241    0.089824189    0.098857851     0.10790107     0.11695468     0.12601949     0.13509633     0.14418598     0.15328925     0.16240689     0.17153967     0.18068833     0.18985361     0.19903622     0.20823685     0.21745619     0.22669489     0.23595361     0.24523295     0.25453353     0.26385593     0.27320071     0.28256842     0.29195956     0.30137463     0.31081412     0.32027846     0.32976808     0.33928338     0.34882474     0.35839251     0.36798701     0.37760854     0.38725737     0.39693375     0.40663791     0.41637002     0.42613027     0.43591878     0.44573567     0.45558102     0.46545489     0.47535731     0.48528828     0.49524777     0.50523573     0.51525207     0.52529669     0.53536945     0.54547018     0.55559870     0.56575479     0.57593820     0.58614867     0.59638588     0.60664953     0.61693927     0.62725471     0.63759546     0.64796110     0.65835117     0.66876522     0.67920274     0.68966321     0.70014610     0.71065085     0.72117687     0.73172356     0.74229029     0.75287643     0.76348132     0.77410426     0.78474458     0.79540154     0.80607443     0.81676250     0.82746498     0.83818111     0.84891009     0.85965113     0.87040341     0.88116612     0.89193841     0.90271945     0.91350839     0.92430437     0.93510652     0.94591397     0.95672585     0.96754128     0.97835937     0.98917924
    0.018178304    0.027358835    0.036541451    0.045726850    0.054915725    0.064108769    0.073306666    0.082510100    0.091719747     0.10093628     0.11016036     0.11939264     0.12863378     0.13788441     0.14714517     0.15641668     0.16569954     0.17499436     0.18430172     0.19362221     0.20295639     0.21230480     0.22166798     0.23104646     0.24044074     0.24985132     0.25927867     0.26872325     0.27818550     0.28766586     0.29716473     0.30668250     0.31621955     0.32577623     0.33535287     0.34494979     0.35456729     0.36420564     0.37386510     0.38354591     0.39324828     0.40297240     0.41271845     0.42248658     0.43227692     0.44208958     0.45192465     0.46178219     0.47166225     0.48156484     0.49148998     0.50143764     0.51140777     0.52140032     0.53141519     0.54145228     0.55151145     0.56159256     0.57169543     0.58181987     0.59196567     0.60213259     0.61232038     0.62252876     0.63275743     0.64300608     0.65327438     0.66356197     0.67386848     0.68419351     0.69453667     0.70489753     0.71527563     0.72567052     0.73608174     0.74650877     0.75695112     0.76740827     0.77787967     0.78836478     0.79886303     0.80937385     0.81989665     0.83043083     0.84097578     0.85153087     0.86209548     0.87266897     0.88325067     0.89383995     0.90443613     0.91503855     0.92564652     0.93625936     0.94687638     0.95749691     0.96812023     0.97874565     0.98937247
    0.018479883    0.027812404    0.037146572    0.046482937    0.055822049    0.065164451    0.074510687    0.083861296    0.093216811     0.10257776     0.11194468     0.12131807     0.13069845     0.14008633     0.14948221     0.15888658     0.16829991     0.17772269     0.18715537     0.19659842     0.20605227     0.21551737     0.22499413     0.23448298     0.24398430     0.25349849     0.26302592     0.27256696     0.28212196     0.29169125     0.30127516     0.31087400     0.32048805     0.33011761     0.33976293     0.34942427     0.35910185     0.36879590     0.37850662     0.38823419     0.39797879     0.40774056     0.41751965     0.42731618     0.43713024     0.44696192     0.45681130     0.46667842     0.47656332     0.48646601     0.49638650     0.50632478     0.51628079     0.52625451     0.53624585     0.54625473     0.55628104     0.56632468     0.57638550     0.58646335     0.59655806     0.60666944     0.61679730     0.62694141     0.63710155     0.64727746     0.65746888     0.66767553     0.67789711     0.68813333     0.69838385     0.70864833     0.71892644     0.72921780     0.73952205     0.74983878     0.76016761     0.77050811     0.78085987     0.79122245     0.80159541     0.81197829     0.82237062     0.83277194     0.84318175     0.85359958     0.86402492     0.87445726     0.88489610     0.89534091     0.90579117     0.91624635     0.92670591     0.93716933     0.94763604     0.95810552     0.96857720     0.97905055     0.98952500
    0.018718032    0.028170576    0.037624420    0.047080000    0.056537748    0.065998095    0.075461469    0.084928296    0.094398998     0.10387399     0.11335369     0.12283851     0.13232885     0.14182511     0.15132768     0.16083696     0.17035331     0.17987713     0.18940876     0.19894858     0.20849694     0.21805417     0.22762061     0.23719659     0.24678242     0.25637842     0.26598487     0.27560207     0.28523029     0.29486979     0.30452084     0.31418367     0.32385852     0.33354561     0.34324515     0.35295733     0.36268235     0.37242036     0.38217153     0.39193602     0.40171394     0.41150543     0.42131059     0.43112951     0.44096228     0.45080897     0.46066962     0.47054429     0.48043299     0.49033575     0.50025255     0.51018340     0.52012825     0.53008708     0.54005982     0.55004641     0.56004677     0.57006080     0.58008840     0.59012945     0.60018380     0.61025133     0.62033185     0.63042522     0.64053123     0.65064970     0.66078041     0.67092314     0.68107767     0.69124375     0.70142112     0.71160952     0.72180867     0.73201828     0.74223807     0.75246772     0.76270691     0.77295532     0.78321262     0.79347846     0.80375250     0.81403436     0.82432370     0.83462012     0.84492325     0.85523271     0.86554810     0.87586902     0.88619506     0.89652582     0.90686089     0.91719983     0.92754224     0.93788769     0.94823575     0.95858598     0.96893795     0.97929124     0.98964540
    0.018906078    0.028453395    0.038001738    0.047551452    0.057102877    0.066656355    0.076212223    0.085770817    0.095332470     0.10489751     0.11446627     0.12403907     0.13361623     0.14319807     0.15278488     0.16237700     0.17197470     0.18157829     0.19118806     0.20080429     0.21042725     0.22005723     0.22969448     0.23933926     0.24899182     0.25865241     0.26832125     0.27799857     0.28768460     0.29737954     0.30708359     0.31679695     0.32651980     0.33625231     0.34599465     0.35574698     0.36550943     0.37528215     0.38506526     0.39485888     0.40466311     0.41447805     0.42430379     0.43414039     0.44398793     0.45384645     0.46371601     0.47359662     0.48348832     0.49339111     0.50330500     0.51322997     0.52316601     0.53311307     0.54307112     0.55304011     0.56301997     0.57301062     0.58301198     0.59302396     0.60304645     0.61307934     0.62312249     0.63317578     0.64323905     0.65331216     0.66339494     0.67348720     0.68358878     0.69369948     0.70381909     0.71394741     0.72408422     0.73422930     0.74438240     0.75454329     0.76471171     0.77488741     0.78507013     0.79525960     0.80545553     0.81565764     0.82586565     0.83607926     0.84629817     0.85652207     0.86675065     0.87698360     0.88722059     0.89746131     0.90770543     0.91795261     0.92820252     0.93845483     0.94870921     0.95896530     0.96922277     0.97948127     0.98974046
    0.019054558    0.028676705    0.038299664    0.047923704    0.057549096    0.067176108    0.076805008    0.086436060    0.096069527     0.10570567     0.11534475     0.12498702     0.13463273     0.14428213     0.15393547     0.16359299     0.17325492     0.18292150     0.19259296     0.20226952     0.21195139     0.22163881     0.23133197     0.24103107     0.25073632     0.26044790     0.27016600     0.27989080     0.28962247     0.29936117     0.30910708     0.31886033     0.32862107     0.33838944     0.34816558     0.35794959     0.36774161     0.37754173     0.38735005     0.39716667     0.40699167     0.41682513     0.42666711     0.43651767     0.44637686     0.45624473     0.46612130     0.47600661     0.48590067     0.49580349     0.50571507     0.51563540     0.52556447     0.53550225     0.54544870     0.55540378     0.56536745     0.57533964     0.58532028     0.59530931     0.60530664     0.61531218     0.62532582     0.63534746     0.64537699     0.65541428     0.66545921     0.67551163     0.68557140     0.69563837     0.70571238     0.71579326     0.72588085     0.73597496     0.74607541     0.75618201     0.76629456     0.77641286     0.78653669     0.79666585     0.80680012     0.81693927     0.82708307     0.83723129     0.84738370     0.85754005     0.86770009     0.87786358     0.88803027     0.89819990     0.90837221     0.91854694     0.92872383     0.93890261     0.94908302     0.95926478     0.96944763     0.97963130     0.98981551
    0.019171793    0.028853025    0.038534897    0.048217624    0.057901418    0.067586491    0.077273054    0.086961317    0.096651487     0.10634377     0.11603837     0.12573549     0.13543533     0.14513808     0.15484394     0.16455310     0.17426574     0.18398205     0.19370222     0.20342641     0.21315481     0.22288757     0.23262487     0.24236687     0.25211371     0.26186556     0.27162255     0.28138483     0.29115254     0.30092580     0.31070475     0.32048950     0.33028016     0.34007684     0.34987966     0.35968870     0.36950405     0.37932580     0.38915403     0.39898881     0.40883021     0.41867828     0.42853309     0.43839466     0.44826306     0.45813830     0.46802042     0.47790944     0.48780536     0.49770820     0.50761796     0.51753462     0.52745819     0.53738863     0.54732592     0.55727002     0.56722090     0.57717851     0.58714280     0.59711371     0.60709117     0.61707511     0.62706545     0.63706211     0.64706499     0.65707400     0.66708904     0.67711000     0.68713676     0.69716921     0.70720721     0.71725065     0.72729937     0.73735324     0.74741212     0.75747586     0.76754429     0.77761726     0.78769460     0.79777615     0.80786173     0.81795116     0.82804427     0.83814087     0.84824077     0.85834378     0.86844972     0.87855837     0.88866955     0.89878304     0.90889866     0.91901619     0.92913542     0.93925614     0.94937815     0.95950123     0.96962517     0.97974976     0.98987477
    0.019264358    0.028992241    0.038720630    0.048449693    0.058179599    0.067910515    0.077642607    0.087376041    0.097110982     0.10684759     0.11658603     0.12632646     0.13606903     0.14581390     0.15556123     0.16531116     0.17506385     0.18481943     0.19457805     0.20433986     0.21410498     0.22387355     0.23364570     0.24342156     0.25320125     0.26298489     0.27277259     0.28256446     0.29236063     0.30216117     0.31196621     0.32177582     0.33159011     0.34140915     0.35123303     0.36106182     0.37089560     0.38073443     0.39057838     0.40042750     0.41028184     0.42014146     0.43000638     0.43987666     0.44975232     0.45963339     0.46951988     0.47941182     0.48930922     0.49921207     0.50912039     0.51903416     0.52895338     0.53887803     0.54880808     0.55874352     0.56868431     0.57863041     0.58858178     0.59853838     0.60850015     0.61846704     0.62843898     0.63841591     0.64839776     0.65838444     0.66837588     0.67837200     0.68837270     0.69837788     0.70838746     0.71840132     0.72841936     0.73844146     0.74846752     0.75849741     0.76853101     0.77856819     0.78860883     0.79865278     0.80869992     0.81875010     0.82880318     0.83885902     0.84891747     0.85897837     0.86904158     0.87910693     0.88917428     0.89924346     0.90931432     0.91938668     0.92946039     0.93953527     0.94961118     0.95968792     0.96976535     0.97984328     0.98992156
